base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC® Fight Night™,THOMAS vs FLORIAN,,,2007-09-19T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 75,CHAMPION VS CHAMPION,,,2007-09-08T00:00:00Z,POST_EVENT,"London, England",O2 Arena
UFC® 74,RESPECT,,,2007-08-25T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 73,STACKED,,,2007-07-07T00:00:00Z,POST_EVENT,"Sacramento, CA",Power Balance Pavilion
The Ultimate Fighter® 5,Finale,,,2007-06-23T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 72,VICTORY,,,2007-06-16T00:00:00Z,POST_EVENT,"Belfast, Northern Ireland",SSE Arena
UFC® Fight Night™,STOUT vs FISHER,,,2007-06-12T00:00:00Z,POST_EVENT,"Hollywood, FL",Seminole Hard Rock Hotel & Casino
UFC® 71,LIDDELL vs JACKSON,,,2007-05-27T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 70,NATIONS COLLIDE,,,2007-04-21T00:00:00Z,POST_EVENT,"Manchester, England",Phones 4U Arena
UFC® 69,SHOOTOUT,,,2007-04-07T00:00:00Z,POST_EVENT,"Houston, Texas",Toyota Center
UFC® Fight Night™,STEVENSON vs GUILLARD,,,2007-04-05T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 68,THE UPRISING,,,2007-03-03T00:00:00Z,POST_EVENT,"Columbus, OH",Nationwide Arena
UFC® 67,ALL OR NOTHING,,,2007-02-03T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® Fight Night™,EVANS vs SALMON,,,2007-01-25T00:00:00Z,POST_EVENT,"Hollywood, FL",Seminole Hard Rock Hotel & Casino
UFC® 66,LIDDELL VS. ORTIZ,,,2006-12-30T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® Fight Night™,SANCHEZ vs RIGGS,,,2006-12-13T00:00:00Z,POST_EVENT,"Miramar, CA",Hangar 1
UFC® 65,BAD INTENTIONS,,,2006-11-18T00:00:00Z,POST_EVENT,"Sacramento, CA",Power Balance Pavilion
The Ultimate Fighter® 4,Finale,,,2006-11-11T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC® 64,UNSTOPPABLE,,,2006-10-14T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
Ortiz vs Shamrock 3,The Final Chapter,,,2006-10-10T00:00:00Z,POST_EVENT,"Hollywood, FL",Seminole Hard Rock Hotel & Casino
UFC® 63,Hughes vs. Penn,,,2006-09-23T00:00:00Z,POST_EVENT,"Anaheim, CA",Honda Center
UFC® 62,LIDDELL VS. SOBRAL,,,2006-08-26T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® Fight Night™,6,,,2006-08-17T00:00:00Z,POST_EVENT,"Las Vegas, NV",Red Rock Casino Resort Spa
UFC® 61,Bitter Rivals,,,2006-07-08T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® Fight Night™,5,,,2006-06-28T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
The Ultimate Fighter® 3,Finale,,,2006-06-24T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC® 60,Hughes vs. Gracie,,,2006-05-27T00:00:00Z,POST_EVENT,"Los Angeles, California",Staples Center
UFC® 59,Reality Check,,,2006-04-15T00:00:00Z,POST_EVENT,"Anaheim, CA",Honda Center
UFC® Fight Night™,4,,,2006-04-06T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC® 58,USA vs. Canada,,,2006-03-04T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 57,Liddell vs Couture 3,,,2006-02-04T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® Fight Night™,3,,,2006-01-16T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC® 56,Full Force,,,2005-11-19T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
The Ultimate Fighter® 2,Finale,,,2005-11-05T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC® 55,Fury,,,2005-10-07T00:00:00Z,POST_EVENT,"Uncasville, Connecticut",Mohegan Sun Arena
UFC® Fight Night™,2,,,2005-10-03T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC® 54,Boiling Point,,,2005-08-20T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® Fight Night™,1,,,2005-08-06T00:00:00Z,POST_EVENT,"Las Vegas, Nevada","Cox Pavillion, UNLV Campus"
UFC® 53,Heavy Hitters,,,2005-06-04T00:00:00Z,POST_EVENT,"Atlantic City, N.J.",Atlantic City Boardwalk Hall
UFC® 52,Couture vs Liddell II,,,2005-04-16T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
The Ultimate Fighter® 1,Finale,,,2005-04-09T00:00:00Z,POST_EVENT,"Las Vegas, Nevada","Cox Pavillion, UNLV Campus"
UFC® 51,Super Saturday,,,2005-02-05T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 50,The War of 04,,,2004-10-22T00:00:00Z,POST_EVENT,"Atlantic City, N.J.",Atlantic City Boardwalk Hall
UFC® 49,Unfinished Business,,,2004-08-21T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 48,Payback,,,2004-06-19T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 47,IT'S ON,,,2004-04-02T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 46,Super Natural,,,2004-01-31T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 45,Revolution,,,2003-11-21T00:00:00Z,POST_EVENT,"Uncasville, Connecticut",Mohegan Sun Arena
