base_title,subtitle,title_tag_line,short_description,event_date,event_status,location,arena
UFC 178,Live on Pay-Per-View,Johnson vs. Cariaso,"Live from Las Vegas, the UFC hosts a highly anticipated card headlined by a flyweight title match between champ Demetrious Johnson and Chris Cariaso.",2014-09-27T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,UFC FIGHT PASS,Hunt vs. Nelson,"The UFC heads back to Japan for an evening of exciting fights, headlined by heavy hitters Mark Hunt and Roy Nelson.",2014-09-20T00:00:00Z,POST_EVENT,,Saitama Super Arena
UFC Fight Night,UFC FIGHT PASS,Bigfoot vs. Arlovski,"Live from Brasilia, Brazil, the UFC brings a highly anticipated card, featuring heavyweights Antonio ""Bigfoot"" Silva and Andrei Arlovski.",2014-09-13T00:00:00Z,POST_EVENT,,Nilson Nelson Gymnasium
UFC Fight Night,FOX Sports 1,Jacare vs. Mousasi,"Live from Connecticut, the UFC brings an action-packed card, featuring a middleweight clash between Ronaldo ""Jacare"" Souza and Gegard Mousasi.",2014-09-05T00:00:00Z,POST_EVENT,"Mashantucket, CT",Foxwoods Resort Casino
UFC 177,Live on Pay-Per-View,Dillashaw vs. Soto,"Live from Sacramento, the UFC hosts an action-packed card, headlined by a title fight between the bantamweight champ T.J. Dillashaw and Joe Soto.",2014-08-30T00:00:00Z,POST_EVENT,"Sacramento, CA",Sleep Train Arena
UFC Fight Night,FOX Sports 1,Henderson vs. Dos Anjos,"UFC Fight Night in Tulsa is filled with action-packed bouts, headlined by top lightweight contenders Benson Henderson and Rafael dos Anjos.",2014-08-23T00:00:00Z,POST_EVENT,"Tulsa, OK",BOK Center
UFC Fight Night,UFC FIGHT PASS,Bisping vs. Le,"The UFC heads to Macao for a night of highly anticipated fights, headlined by a middleweight clash between Michael Bisping and Cung Le.",2014-08-23T00:00:00Z,POST_EVENT,,Cotai Arena - Venetian Macao
UFC Fight Night,FOX Sports 1,Bader vs. Saint Preux,"The UFC heads to Bangor, Maine for a night of exciting fights, highlighted by a light heavyweight showdown between Ryan Bader and Ovince Saint Preux.",2014-08-16T00:00:00Z,POST_EVENT,"Bangor, ME",Cross Insurance Center
UFC Fight Night,Live on FOX,Lawler vs. Brown,"Live from San Jose, the UFC brings an action-packed card highlighted by a welterweight clash between #1 contender Robbie Lawler and #5 Matt Brown.",2014-07-26T00:00:00Z,POST_EVENT,"San Jose, CA",SAP Center
UFC Fight Night,UFC Fight Pass,McGregor vs. Brandao,"The UFC returns to Ireland with a stacked fight card, highlighted by a main event between featherweight contenders Conor McGregor and Diego Brandao.",2014-07-19T00:00:00Z,POST_EVENT,"Dublin, Ireland",The O2
UFC Fight Night,FOX Sports 1,Cerrone vs. Miller,"Top lightweight contender Donald ""Cowboy"" Cerrone looks to take on Jim Miller at UFC Fight Night in Atlantic City, New Jersey.",2014-07-16T00:00:00Z,POST_EVENT,"Atlantic City, NJ",Revel Resorts
The Ultimate Fighter Finale,FOX Sports 1,Edgar vs. Penn,TUF 19 Finale is live from Las Vegas and headlined by rival featherweight coaches Frankie Edgar and B.J. Penn.,2014-07-06T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC 175,Live on Pay-Per-View,Weidman vs. Machida,"Middleweight champ Chris Weidman looks to make another title defense against Lyoto Machida at UFC 175 in Las Vegas, Nevada.",2014-07-05T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC Fight Night,FOX Sports 1,Swanson vs. Stephens,"Live from San Antonio, Texas, UFC Fight Night is full of highly anticipated fights, headlined by featherweight stars Cub Swanson and Jeremy Stephens.",2014-06-28T00:00:00Z,POST_EVENT,"San Antonio, TX",AT&T Center
UFC Fight Night,UFC Fight Pass,Te Huna vs. Marquardt,"The UFC is live from the Vector Arena in Auckland, New Zealand, featuring a middleweight clash between James Te Huna and Nate Marquardt.",2014-06-28T00:00:00Z,POST_EVENT,,Vector Arena
UFC 174,Live on Pay-Per-View,Johnson vs. Bagautinov,"UFC 174 heads to Vancouver, Canada with a flyweight title fight between reigning champ Demetrious ""Mighty Mouse"" Johnson and Ali Bagautinov.",2014-06-14T00:00:00Z,POST_EVENT,"Vancouver, BC",Rogers Arena
UFC Fight Night,FOX Sports 1,Henderson vs. Khabilov,"For the first time, the UFC heads to Albuquerque, New Mexico for a night of exciting fights featuring Benson Henderson against Rustam Khabilov.",2014-06-07T00:00:00Z,POST_EVENT,"Albuquerque, NM",Tingley Coliseum
UFC Fight Night,FOX Sports 1,Miocic vs. Maldonado,The UFC heads to Brazil for a highly anticipated fight between heavyweight contenders Stipe Miocic and Fabio Maldonado.,2014-05-31T00:00:00Z,POST_EVENT,,Ibirapuera Gymnasium
UFC Fight Night,UFC Fight Pass,Munoz vs. Mousasi,The UFC heads to Berlin for a night of exciting fights featuring a middleweight clash between Mark Munoz and Gegard Mousasi.,2014-05-31T00:00:00Z,POST_EVENT,"Berlin, Germany",The O2 World Berlin
UFC 173,Live on Pay-Per-View,Barao vs. Dillashaw,"Live from Las Vegas, the MGM Grand will play host to the bantamweight title fight between Renan Barao and TJ Dillashaw.",2014-05-24T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,FOX Sports 1,Brown vs. Silva,UFC Fight Night in Cincinnati is highly anticipated with a welterweight headliner between Matt Brown and Erick Silva.,2014-05-10T00:00:00Z,POST_EVENT,"Cincinnati, OH",US Bank Arena
UFC 172,Live on Pay-Per-View,Jones vs. Teixeira,"Live from Baltimore, UFC 172 features a light heavyweight title fight between champion Jon Jones and top contender Glover Teixeira.",2014-04-26T00:00:00Z,POST_EVENT,"Baltimore, MD",Baltimore Arena
FOX UFC Saturday,Live on FOX,Werdum vs. Browne,"FOX UFC Saturday heads to Orlando, Florida.",2014-04-19T00:00:00Z,POST_EVENT,"Orlando, FL",Amway Center
TUF Nations Finale,FOX Sports 1,Bisping vs. Kennedy,"The UFC heads to Quebec City, Canada for a night of fights featuring middleweight contenders Michael Bisping and Tim Kennedy.",2014-04-16T00:00:00Z,POST_EVENT,,Colisée Pepsi
UFC Fight Night,UFC Fight Pass,Nogueira vs. Nelson,"Heavyweights Minotauro Nogueria and Roy ""Big Country"" Nelson look to square off in Abu Dhabi for a UFC Fight Night event.",2014-04-11T00:00:00Z,POST_EVENT,"Abu Dhabi, UAE","DU Arena, Yas Island"
UFC Fight Night,FOX Sports 1,Shogun vs. Henderson 2,"The UFC heads to Natal, Brazil for a night of fights featuring a light heavyweight battle between Shogun Rua and Dan Henderson.",2014-03-23T00:00:00Z,POST_EVENT,,Ginasio Nelio Dias
UFC 171,Live on Pay-Per-View,Hendricks vs. Lawler,"The UFC heads to Dallas, Texas for UFC 171, featuring a highly anticipated welterweight title fight between Johny Hendricks and Robbie Lawler.",2014-03-15T00:00:00Z,POST_EVENT,"Dallas, Texas",American Airlines Center
UFC Fight Night,UFC Fight Pass,Gustafsson vs. Manuwa,"The UFC heads to London with an action-packed card, headlined by a light heavyweight bout between Alexander Gustafsson and Jimi Manuwa.",2014-03-08T00:00:00Z,POST_EVENT,"London, England",O2 Arena
UFC Fight Night,UFC Fight Pass,Kim vs. Hathaway,"Live from the Cotai Arena in Macao, the UFC features a welterweight clash between Dong Hyun Kim and John Hathaway.",2014-03-01T00:00:00Z,POST_EVENT,,Cotai Arena - Venetian Macao
UFC 170,Live on Pay-Per-View,Rousey vs. McMann,"UFC 170 is live from the Mandalay Bay in Las Vegas, Nevada, featuring a fight for the women's bantamweight title between Ronda Rousey and Sara McMann",2014-02-22T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC Fight Night,FOX Sports 1,Machida vs. Mousasi,"Live from Jaragua do Sul, Brazil, Lyoto ""The Dragon"" Machida looks to take on Gegard Mousasi in the midddleweight division.",2014-02-15T00:00:00Z,POST_EVENT,,Arena Jaragua
UFC 169,Barao vs. Faber,Live on Pay-Per-View,"UFC 169 is live from the Prudential Center in New Jersey, with bantamweight champ Renan Barao looking to defend his title against Urijah Faber.",2014-02-01T00:00:00Z,POST_EVENT,"Newark, New Jersey",Prudential Center
FOX UFC Saturday,Henderson vs. Thomson,Live from Chicago,"FOX UFC Saturday is live from Chicago, Illinois, headlined by a lightweight bout between former lightweight champ Benson Henderson and Josh Thomson.",2014-01-25T00:00:00Z,POST_EVENT,"Chicago, IL",United Center
UFC FIGHT NIGHT,FOX Sports 1,Rockhold vs. Philippou,"The UFC heads to The Arena at Gwinnett Center in Duluth, Georgia, featuring a middleweight battle between Luke Rockhold and Costa Philippou.",2014-01-15T00:00:00Z,POST_EVENT,"Duluth, GA",The Arena at Gwinnett Center
UFC Fight Night,Live on UFC Fight Pass,Saffiedine vs. Lim,The UFC goes to Singapore showcasing a welterweight battle between Tarec Saffiedine and Hyun Guy Lim.,2014-01-04T00:00:00Z,POST_EVENT,,Marina Bay Sands
UFC 168,Weidman vs. Silva 2,Live on Pay-Per-View,The UFC rounds out 2013 in Las Vegas with a rematch for the middleweight title as Anderson Silva looks to recapture the belt from Chris Weidman.,2013-12-28T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC on FOX 9,Johnson vs. Benavidez 2,Live from Sacramento,"Live from the Sleep Train Arena, flyweight champion Demetrious Johnson looks to defend his title against top contender Joseph Benavidez.",2013-12-14T00:00:00Z,POST_EVENT,"Sacramento, CA",Sleep Train Arena
UFC Fight Night,FOX Sports 1,Hunt vs. Bigfoot,"The UFC will make its first-ever appearance in the city of Brisbane, with a heavyweigh clash between Mark ""The Super Samoan"" Hunt and Bigfoot Silva.",2013-12-06T00:00:00Z,POST_EVENT,"Brisbane, Qld",Brisbane Entertainment Centre
TUF 18 Finale,Maynard vs. Diaz,Live on FOX Sports 1,"The finale of The Ultimate Fighter: Team Rousey vs. Team Tate is live from the Mandalay Bay Events Center, headlined by Gray Maynard vs. Nate Diaz.",2013-11-30T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC 167,St-Pierre vs. Hendricks,Live on Pay-Per-View,Welterweight champion Georges St-Pierre looks to defend his title against the hard-hitting Johny Hendricks live from the MGM Grand Garden Arena.,2013-11-16T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC Fight Night,FOX Sports 1,Belfort vs. Henderson,"In the UFC light heavyweight division, Vitor Belfort will take on Dan Henderson in a rematch bout taking place in Goiania, Brazil.",2013-11-09T00:00:00Z,POST_EVENT,,Goiania Arena
Fight for the Troops,FOX Sports 1,UFC Fight Night,"The UFC goes to Fort Campbell, Kentucky in this Fight for the Troops event.",2013-11-06T00:00:00Z,POST_EVENT,"Fort Campbell, Kentucky",Fort Campbell and the 101st Airborne Division
UFC Fight Night,FOX Sports 2,Machida vs. Munoz,"The UFC heads to Manchester, England for an exciting battle between Lyoto ""The Dragon"" Machida and Mark ""The Filipino Wrecking Machine"" Munoz.",2013-10-26T00:00:00Z,POST_EVENT,"Manchester, England",Phones 4U Arena
UFC 166,Velasquez vs. Dos Santos 3,Live on Pay-Per-View,The UFC returns to Houston for the highly-anticipated heavyweight title fight between Cain Velasquez and Junior Dos Santos.,2013-10-19T00:00:00Z,POST_EVENT,"Houston, Texas",Toyota Center
UFC Fight Night,FOX Sports 1,Maia vs. Shields,"The city of Barueri, Brazil welcomes the Ultimate Fighting Championship® with UFC Fight Night: Demian Maia vs. Jake Shields.",2013-10-09T00:00:00Z,POST_EVENT,,Jose Correa Arena
UFC 165,Jones vs. Gustafsson,Live on Pay-Per-View,The UFC returns to the Air Canada Centre in Toronto with the highly-anticipated light heavyweight title fight between Jon Jones and Alex Gustafsson.,2013-09-21T00:00:00Z,POST_EVENT,"Toronto, Ontario",Scotiabank Arena
UFC Fight Night,FOX Sports 1,Teixeira vs. Bader,"The UFC returns to Brazil in the city of Belo Horizonte for a night of exciting fights, featuring Glover Teixeira vs. Ryan ""Darth"" Bader.",2013-09-04T00:00:00Z,POST_EVENT,,Mineirinho Gymnasium
UFC 164,Henderson vs. Pettis,Live on Pay-Per-View,The UFC returns to Milwaukee for a title fight featuring the lightweight champion Benson Henderson and top contender Anthony Pettis.,2013-08-31T00:00:00Z,POST_EVENT,"Milwaukee, Wisconsin",BMO Harris Bradley Center
UFC Fight Night,FOX Sports 1,Condit vs. Kampmann 2,"The UFC makes its long-awaited return to Indianapolis, as Carlos Condit and Martin Kampmann meet in a rematch of their 2009 bout.",2013-08-28T00:00:00Z,POST_EVENT,"Indianapolis, IN",Bankers Life Fieldhouse
UFC Fight Night,FOX Sports 1,Shogun vs. Sonnen,"The UFC returns to Boston for another night of exciting fights, featuring Mauricio ""Shogun"" Rua vs. Chael Sonnen.",2013-08-17T00:00:00Z,POST_EVENT,"Boston, MA",TD Garden
UFC 163,Aldo vs. Korean Zombie,Live on Pay-Per-View,"Top lightweight contender ""The Korean Zombie"" Chan Sung Jung looks to challenge featherweight champion Jose Aldo for the title belt.",2013-08-03T00:00:00Z,POST_EVENT,,HSBC Arena
UFC on FOX 8,Johnson vs. Moraga,Live from Seattle,"The UFC returns to KeyArena with another night of thrilling fights, headlined by the flyweight title bout between Demetrious Johnson and John Moraga.",2013-07-27T00:00:00Z,POST_EVENT,"Seattle, WA",Key Arena
UFC 162,Silva vs. Weidman,Live on Pay-Per-View,The UFC returns to the MGM Grand Garden Arena with a middlweight title bout between champion Anderson Silva and undefeated challenger Chris Weidman.,2013-07-06T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC 161,Evans vs. Henderson,Live on Pay-Per-View,"The UFC makes its Winnipeg debut with a night of exciting fights, as former champions Rashad Evans and Dan Henderson face off.",2013-06-15T00:00:00Z,POST_EVENT,"Winnipeg, Manitoba",MTS Centre
UFC on FUEL TV 10,Nogueira vs. Werdum,Live from Brazil,"Heavyweight contenders Minotauro Nogueira and Fabricio Werdum meet in a long-awaited rematch, plus the next TUF Brasil winner is crowned.",2013-06-08T00:00:00Z,POST_EVENT,,Paulo Sarasate Arena
UFC 160,Velasquez vs. Bigfoot 2,Live on Pay-Per-View,"The UFC® returns to Vegas for another night of action-packed fights, headlined by the heavyweight title bout between Cain Velasquez and Antonio Silva.",2013-05-25T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC on FX 8,Belfort vs. Rockhold,Live from Brazil,Former STRIKEFORCE middleweight champion Luke Rockhold makes his UFC debut against former UFC light heavyweight champion Vitor Belfort.,2013-05-18T00:00:00Z,POST_EVENT,,Arena Jaragua
UFC 159 ,Jones vs. Sonnen,Live on Pay-Per View,UFC® light heavyweight champion Jon Jones puts his title on the line against perennial contender Chael Sonnen.,2013-04-27T00:00:00Z,POST_EVENT,"Newark, New Jersey",Prudential Center
UFC on FOX 7,Henderson vs. Melendez,Live from San Jose,"The UFC4 returns to San Jose with a night of free fights, featuring a lightweight title bout between Benson Henderson and Gilbert Melendez.",2013-04-20T00:00:00Z,POST_EVENT,"San Jose, CA",HP Pavilion
The Ultimate Fighter 17 Finale,Faber vs. Jorgensen,Live from Las Vegas,"A new Ultimate Fighter will be crowned live from the Mandalay Bay Events center in Las Vegas, Nevada.",2013-04-13T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC on FUEL TV 9,Mousasi vs. Latifi,Live from Stockholm,"The UFC® returns to Stockholm for a night of exciting fights, headlined by a light heavyweight bout between Gegard Mousasi and Ilir Latifi.",2013-04-06T00:00:00Z,POST_EVENT,,Ericsson Globe
UFC 158,St-Pierre vs. Diaz, Live on Pay-Per View,"The UFC® returns to Montreal for UFC® 158, featuring a highly-anticipated title fight between Georges St-Pierre and Nick Diaz.",2013-03-16T00:00:00Z,POST_EVENT,"Montreal, Québec",Bell Centre
UFC on FUEL TV 8,Silva vs. Stann,Japan 2013,"The UFC returns to Japan for another night of exciting fights, headlined by a light heavyweight bout between Wanderlei Silva and Brian Stann.",2013-03-02T00:00:00Z,POST_EVENT,,Saitama Super Arena
UFC 157,Women's Bantamweight Championship,,"The UFC® returns to the Honda center in Anaheim, California, as women's bantamweight champ Ronda Rousey defends her title against Liz Carmouche.",2013-02-23T00:00:00Z,POST_EVENT,"Anaheim, CA",Honda Center
UFC on FUEL TV 7,Barao vs. McDonald,Live from London,"The UFC® makes its long-awaited return to London, as Renan Barao defends his interim bantamweight title against Michael McDonald.",2013-02-16T00:00:00Z,POST_EVENT,,Wembley Arena
UFC 156,Aldo vs. Edgar, Live on Pay-Per-View,UFC® featherweight kingpin Jose Aldo defends his title against former lightweight champion Frankie Edgar in highly anticipated superfight.,2013-02-02T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC on FOX 6,Johnson vs. Dodson,Live from Chicago,UFC® flyweight champion Demetrious Johnson makes his first title defense against former TUF winner John Dodson at the United Center in Chicago.,2013-01-26T00:00:00Z,POST_EVENT,"Chicago, IL",United Center
UFC on FX 7,Belfort vs. Bisping,Live from Brazil,"The UFC® kicks off 2013 in Brazil, with an exciting bout between middleweight contenders Vitor Belfort and Michael Bisping.",2013-01-19T00:00:00Z,POST_EVENT,,Ibirapuera Gymnasium
UFC 155 Live on Pay-Per-View,Dos Santos vs. Velasquez II,Live on Pay-Per-View,The UFC® closes out 2012 with an epic rematch between heavyweight champion junior dos Santos and former champion Cain Velasquez. ,2012-12-29T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC on FX 6,Sotiropoulos vs. Pearson,,"The UFC returns to Australia, as former TUF standouts George Sotiropoulos and Ross Pearson square off.",2012-12-14T00:00:00Z,POST_EVENT,"Gold Coast, Queensland",Gold Coast Convention Centre
The Ultimate Fighter 16,Finale,,"The UFC® returns to the Hard Rock Hotel for The Ultimate Fighter 16 finale, featuring a heavyweight clash between Roy Nelson and Matt Mitrione.",2012-12-15T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Joint - Hard Rock Hotel & Casino
UFC on FOX 5,Henderson vs. Diaz,,"The UFC® returns to Seattle for an epic night of free fights, headlined by a lightweight title bout between Benson Henderson and Nate Diaz.",2012-12-08T00:00:00Z,POST_EVENT,"Seattle, WA",Key Arena
UFC® 154 Live on Pay-Per-View,St-Pierre vs. Condit,,Welterweight champion Georges St-Pierre makes his return to the octagon to face interim champ Carlos Condit for the undisputed UFC welterweight title.,2012-11-17T00:00:00Z,POST_EVENT,"Montreal, Québec",Bell Centre
UFC® Macao,Franklin vs. Le,,"The UFC® debuts in China with a night of thrilling bouts, headlined by a middleweight fight between former champions Rich Franklin and Cung Le.",2012-11-10T00:00:00Z,POST_EVENT,,Cotai Arena - Venetian Macao
UFC® 153 Live on Pay-Per-View,Silva vs. Bonnar,,"Already 2-0 at light heavyweight, middleweight champ Anderson Silva will make the move 20 pounds north to meet former TUF finalist Stephan Bonnar.",2012-10-13T00:00:00Z,POST_EVENT,,HSBC Arena
UFC on FX 5,Browne vs. Bigfoot,,"The UFC® lands in Minneapolis for a pivotal heavyweight showdown featuring Travis ""Hapa"" Browne and Antonio ""Bigfoot"" Silva.",2012-10-05T00:00:00Z,POST_EVENT,"Minneapolis, MN",Target Center
UFC on FUEL TV 5,Struve vs. Miocic,,"The UFC® makes its debut in Nottingham with a night of action-packed fights, headlined by a heavyweight tilt between Stefan Struve and Stipe Miocic.",2012-09-29T00:00:00Z,POST_EVENT,,Capital FM Arena
UFC® 152 Live on Pay-Per-View,Jones vs. Belfort,,The UFC® returns to the Air Canada Centre in Toronto with a light heavyweight championship bout between Jon Jones and Vitor Belfort.,2012-09-22T00:00:00Z,POST_EVENT,"Toronto, Ontario",Scotiabank Arena
UFC® 150 Live on Pay-Per-View,Henderson vs. Edgar II ,,"The UFC® returns to the Mile High City, as lightweight champion Benson Henderson makes his first title defense against former champ Frankie Edgar.",2012-08-11T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC on FOX 4,Shogun vs Vera,,"The UFC® lands at Staples Center for a night of great fights on broadcast TV, as Mauricio ""Shogun"" Rua takes on Brandon Vera.",2012-08-04T00:00:00Z,POST_EVENT,"Los Angeles, California",Staples Center
UFC® 149 Live on Pay-Per-View,Faber vs. Barao,,Urijah Faber and Renan Barao battle for the interim bantamweight title. Tim Boetsch meets Hector Lombard and Minotauro Nogueira faces Cheick Kongo.,2012-07-21T00:00:00Z,POST_EVENT,"Calgary, Alberta",Scotiabank Saddledome
UFC on FUEL TV 4,Munoz vs. Weidman,,Two of MMA's top wrestlers collide on July 11 when former national champion Mark Munoz meets two-time All American Chris Weidman at the HP Pavilion.,2012-07-11T00:00:00Z,POST_EVENT,"San Jose, CA",HP Pavilion
UFC® 148 Live on Pay-Per-View,Silva vs. Sonnen II,,It’s the most eagerly anticipated rematch in UFC history as Anderson Silva defends his title against Chael Sonnen.,2012-07-07T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 147 Live on Pay-Per-View,Silva vs. Franklin II,,"Former champions meet to even the score as Wanderlei Silva faces Rich Franklin. Plus, The Ultimate Fighter Brazil winners are crowned.",2012-06-23T00:00:00Z,POST_EVENT,,Mineirinho Gymnasium
UFC on FX 4,Maynard vs. Guida,,"The UFC® rolls into Atlantic City with a card full of action, headlined by an exciting lightweight bout between Gray Maynard and Clay Guida.",2012-06-22T00:00:00Z,POST_EVENT,"Atlantic City, NJ",Revel Resorts
UFC on FX 3,Johnson vs. McCall,,"Demtrious Johnson and Ian McCall settle the score, and determine who will face Joseph Benavidez for the inaugural UFC® flyweight championship.",2012-06-08T00:00:00Z,POST_EVENT,"Sunrise, FL",Bank Atlantic Center
The Ultimate Fighter Live®,Finale,,The next Ultimate Fighter gets crowned at the Palms Casino Resort plus welterweights Jake Ellenberger and Martin Kampmann face off in a pivotal bout.,2012-06-01T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 146 Live on Pay-per-View,Dos Santos vs. Mir,,It’s the biggest night of UFC heavyweight action as Junior Dos Santos defends his heavyweight crown against former UFC champion Frank Mir. ,2012-05-26T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC on FUEL TV 3,Korean Zombie vs. Poirier,,"The UFC® brings a pivotal featherweight matchup to the Patriot Center, as Chan Sung Jung and Dustin square off in a bout with title implications.",2012-05-15T00:00:00Z,POST_EVENT,"Fairfax, Virginia",Patriot Center
UFC on FOX 3,Diaz vs. Miller,,"The UFC® invades the IZOD Center with a pivotal lightweight matchup, as Nate Diaz takes on Jim Miller.",2012-05-05T00:00:00Z,POST_EVENT,"East Rutherford, NJ",IZOD Center
UFC® 145 Live on Pay-Per-View,Jones vs. Evans,,"The UFC® returns to Atlanta with an epic grudge match, as light heavyweight champ Jon Jones defends his title against former teammate Rashad Evans.",2012-04-21T00:00:00Z,POST_EVENT,"Atlanta, GA",Philips Arena
UFC on FUEL TV 2,Gustafsson vs. Silva,,The UFC® makes its debut in Sweden with a night of great fights from the Ericsson Globe Arena in Stockholm.,2012-04-14T00:00:00Z,POST_EVENT,,Ericsson Globe
UFC on FX 2,Alves vs. Kampmann,,"The UFC® returns to Australia with a welterweight bout between Thiago Alves and Martin Kampmann, plus the semifinals of the UFC® flyweight tourney.",2012-03-02T00:00:00Z,POST_EVENT,,Allphones Arena
UFC® 144 Live on Pay-Per-View,Edgar vs Henderson,,"The UFC® makes its long-awaited return to Japan, as lightweight champion Frankie Edgar defends his title against top contender Benson Henderson.",2012-02-25T00:00:00Z,POST_EVENT,,Saitama Super Arena
UFC on FUEL TV 1,Sanchez vs. Ellenberger,,"The UFC®  makes its debut on FUEL TV, with Diego Sanchez taking on Jake Ellenberger in a pivotal welterweight bout.",2012-02-15T00:00:00Z,POST_EVENT,"Omaha, NE",Omaha Civic Auditorium
UFC® 143 Live on Pay-Per-View,Diaz vs. Condit,,Excitement is guaranteed when Nick Diaz faces Carlos Condit for the UFC® interim welterweight title in Las Vegas.,2012-02-04T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC on FOX 2,Evans vs. Davis,,"The UFC® invades Chicago with a pivotal light heavyweight bout, as former champion Rashad Evans takes on undefeated Phil Davis.",2012-01-28T00:00:00Z,POST_EVENT,"Chicago, IL",United Center
UFC on FX 1,Guillard vs. Miller,,"The UFC® heads to Nashville with a pivotal matchup in the lightweight division, as Melvin Guillard takes on Jim Miller.",2012-01-20T00:00:00Z,POST_EVENT,"Nashville, TN",Bridgestone Arena
UFC RIO ,Aldo vs. Mendes,,"The UFC® returns to Brazil with another title fight, as featherweight champ Jose Aldo defends his belt against unbeaten Chad ""Money"" Mendes.",2012-01-14T00:00:00Z,POST_EVENT,,HSBC Arena
UFC® 141 Live on Pay-Per-View,Lesnar vs. Overeem,,"The UFC® ends 2011 with a bang, as former UFC® heavyweight champion Brock Lesnar returns to the Octagon™ to face vicious striker Alistair Overeem.",2011-12-30T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",MGM Grand Garden Arena
UFC® 140 Live on Pay-Per-View,Jones vs. Machida,,"For the second time in 2011, the UFC® brings a title fight to Toronto, as light heavyweight champ Jon Jones faces former champion Lyoto Machida.",2011-12-10T00:00:00Z,POST_EVENT,"Toronto, Ontario",Scotiabank Arena
The Ultimate Fighter 14 Finale,Team Bisping vs. Team Miller,,"Two featherweights and two bantamweights battle to determine the next Ultimate Fighters, plus coaches Michael Bisping and Jason Miller face off.",2011-12-03T00:00:00Z,POST_EVENT,"Las Vegas, Nevada",The Pearl
UFC® 139 Live on Pay-Per-View,Shogun vs. Henderson,,"The UFC brings the big guns to its San Jose debut, as MMA legends Dan Henderson and Mauricio ""Shogun"" Rua collide in a pivotal light heavyweight bout.",2011-11-19T00:00:00Z,POST_EVENT,"San Jose, CA",HP Pavilion
UFC on Fox 1,Velasquez vs. Dos Santos,,"The UFC® makes its broadcast television debut on Saturday, November 12, live from the Honda Center in Anaheim, California.",2011-11-12T00:00:00Z,POST_EVENT,"Anaheim, CA",Honda Center
UFC® 138,LEBEN vs. MUNOZ,,"The UFC® invades the LG Arena in Birmingham, England with an action-packed card, headlined by Chris Leben vs. Mark Munoz.",2011-11-05T00:00:00Z,POST_EVENT,,LG Arena
UFC® 137 Live on Pay-Per-View,Penn vs. Diaz,,"The UFC® returns to Vegas on October 29, as former two-division champion BJ Penn faces former Strikeforce® welterweight champ Nick Diaz.",2011-10-29T00:00:00Z,POST_EVENT,"Las Vegas, NV",Mandalay Bay Events Center
UFC® 136 Live on Pay Per View,EDGAR vs. MAYNARD III,,"The UFC® rolls into Houston on October 8, as Frankie Edgar  and Gray Maynard meet in a long-awaited rematch for the UFC® Lightweight championship.",2011-10-08T00:00:00Z,POST_EVENT,"Houston, Texas",Toyota Center
UFC LIVE 6,Cruz vs. Johnson,,"For the first time in four years, the UFC® brings a title fight to free TV, as bantamweight champ Dominick Cruz battles Demetrious Johnson.",2011-10-01T00:00:00Z,POST_EVENT,"Washington, DC",Verizon Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® regresa a Denver, cuando el Campeón Peso Semi Completo del UFC® Jon Jones defienda su título frente al ex-campeón Quinton ""Rampage"" Jackson.",2011-09-24T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
UFC® 135,JONES vs. RAMPAGE,,"The UFC® returns to Denver, as UFC® Light Heavyweight champ Jon Jones defends his title against former champion Quinton ""Rampage"" Jackson.",2011-09-25T00:00:00Z,POST_EVENT,"Denver, CO",Pepsi Center
