first_name,last_name,wins,losses,draws,weight_class,title_holder,fighter_status
Mike,Brown,26.0,9.0,0.0,Featherweight,False,NotFighting
Sean,Pierson,14.0,6.0,0.0,Welterweight,False,NotFighting
Song,Kenan,13.0,4.0,0.0,Welterweight,False,Active
Wuliji,Buren,10.0,5.0,0.0,Featherweight,False,Active
Jose,Torres,8.0,0.0,0.0,Flyweight,False,Active
Pingyuan,Liu,10.0,5.0,0.0,Bantamweight,False,Active
Chance,Rencountre,12.0,3.0,0.0,Welterweight,False,Active
Jim,Miller,28.0,11.0,0.0,Lightweight,False,Active
Alexandra,Albu,7.0,0.0,0.0,Women_Strawweight,False,Active
Russell,Doane,15.0,8.0,0.0,Bantamweight,False,Active
Amanda,Ribas,6.0,1.0,0.0,Women_Strawweight,False,Active
Bharat,Kandare,5.0,3.0,0.0,Bantamweight,False,Active
Dongi,Yang,12.0,3.0,0.0,Middleweight,False,NotFighting
Mitch,Gagnon,12.0,4.0,0.0,Bantamweight,False,Active
Zubaira,Tukhugov,18.0,4.0,0.0,Featherweight,False,Active
Wang,Guan,20.0,1.0,1.0,Featherweight,False,Active
Dan,Henderson,32.0,15.0,0.0,Middleweight,False,NotFighting
Shawn,Jordan,18.0,7.0,0.0,Heavyweight,False,NotFighting
Junior,Dos Santos,18.0,5.0,0.0,Heavyweight,False,Active
Brian,Kelleher,19.0,9.0,0.0,Bantamweight,False,Active
Nick,Catone,10.0,4.0,0.0,Middleweight,False,NotFighting
Shamil,Abdurakhimov,18.0,4.0,0.0,Heavyweight,False,Active
Tiequan,Zhang,18.0,4.0,0.0,Lightweight,False,Active
Magnus,Cedenblad,14.0,5.0,0.0,Middleweight,False,Active
Rafael,Dos Anjos,28.0,10.0,0.0,Welterweight,False,Active
Christian,Colombo,8.0,3.0,1.0,Heavyweight,False,Active
Patrick,Cote,24.0,11.0,0.0,Welterweight,False,NotFighting
Sean,Strickland,19.0,3.0,1.0,Welterweight,False,Active
Joe,Duffy,16.0,3.0,0.0,Lightweight,False,Active
Hector,Sandoval,14.0,4.0,0.0,Flyweight,False,Active
Ruslan,Magomedov,14.0,1.0,0.0,Heavyweight,False,Active
Felipe,Silva,8.0,2.0,0.0,Lightweight,False,Active
Adam,Wieczorek,10.0,1.0,0.0,Heavyweight,False,Active
Ryan,Janes,10.0,3.0,0.0,Middleweight,False,Active
Azamat,Murzakanov,7.0,0.0,0.0,Light_Heavyweight,False,Active
Tina,Lahdemaki,5.0,1.0,0.0,Women_Strawweight,False,Active
Junior,Albini,14.0,4.0,0.0,Heavyweight,False,Active
Chanmi,Jeon,5.0,2.0,0.0,Women_Strawweight,False,Active
Johnny,Case,22.0,6.0,0.0,Lightweight,False,Active
Ji Yeon,Kim,7.0,1.0,2.0,Women_Flyweight,False,Active
Dustin,Poirier,23.0,5.0,0.0,Lightweight,False,Active
Michael,Johnson,18.0,12.0,0.0,Lightweight,False,Active
Forrest,Griffin,19.0,7.0,0.0,Light_Heavyweight,False,NotFighting
James,Mulheron,11.0,2.0,0.0,Heavyweight,False,Active
Shane,Young,11.0,4.0,0.0,Featherweight,False,Active
Stephan,Bonnar,17.0,8.0,0.0,Light_Heavyweight,False,NotFighting
Diego,Sanchez,29.0,11.0,0.0,Lightweight,False,Active
Joseph,Benavidez,25.0,5.0,0.0,Flyweight,False,Active
Misha,Cirkunov,13.0,4.0,0.0,Light_Heavyweight,False,Active
Joaquim,Silva,10.0,1.0,0.0,Lightweight,False,Active
Rolando,Dy,9.0,6.0,1.0,Featherweight,False,Active
John,Hathaway,17.0,2.0,0.0,Welterweight,False,Active
John,Lineker,31.0,8.0,0.0,Bantamweight,False,Active
Max,Griffin,14.0,4.0,0.0,Welterweight,False,Active
Frank,Camacho,21.0,6.0,0.0,Lightweight,False,Active
James,Krause,23.0,8.0,0.0,Lightweight,False,Active
Jake,Matthews,13.0,3.0,0.0,Welterweight,False,Active
Megan,Anderson,8.0,3.0,0.0,Women_Featherweight,False,Active
Jessica,Andrade,18.0,6.0,0.0,Women_Strawweight,False,Active
Timothy,Johnson,12.0,4.0,0.0,Heavyweight,False,Active
Jeremy,Kennedy,11.0,1.0,0.0,Featherweight,False,Active
Greg,Rebello,24.0,8.0,0.0,Heavyweight,False,Active
Omari,Akhmedov,17.0,4.0,1.0,Middleweight,False,Active
Zu,Anyanwu,14.0,5.0,0.0,Heavyweight,False,Active
Stephen,Thompson,14.0,3.0,1.0,Welterweight,False,Active
Walt,Harris,11.0,7.0,0.0,Heavyweight,False,Active
Olivier,Aubin-Mercier,12.0,2.0,0.0,Lightweight,False,Active
Ulka,Sasaki,20.0,5.0,2.0,Flyweight,False,Active
Thomas,Almeida,22.0,3.0,0.0,Bantamweight,False,Active
Charles,Byrd,9.0,4.0,0.0,Middleweight,False,Active
Jimmy,Wallhead,29.0,11.0,0.0,Welterweight,False,Active
Justin,Jones,9.0,2.0,0.0,Middleweight,False,Active
Tom,Lawlor,10.0,6.0,0.0,Light_Heavyweight,False,Active
Kajan,Johnson,22.0,12.0,1.0,Lightweight,False,Active
Nina,Ansaroff,8.0,5.0,0.0,Women_Strawweight,False,Active
Danielle,Taylor,9.0,3.0,0.0,Women_Strawweight,False,Active
Manny,Vazquez,11.0,2.0,0.0,Flyweight,False,Active
Song,Yadong ,12.0,3.0,0.0,Bantamweight,False,Active
Chris,Leben,22.0,11.0,0.0,Middleweight,False,NotFighting
Chad,Laprise,14.0,3.0,0.0,Welterweight,False,Active
Leon,Edwards,15.0,3.0,0.0,Welterweight,False,Active
Ketlen,Vieira,10.0,0.0,0.0,Women_Bantamweight,False,Active
Joby,Sanchez,11.0,3.0,0.0,Flyweight,False,Active
Hu,Yaozong,3.0,1.0,0.0,Heavyweight,False,Active
Kenny,Florian,16.0,6.0,0.0,Featherweight,False,NotFighting
Joachim,Christensen,14.0,6.0,0.0,Light_Heavyweight,False,Active
Matt,Bessette,22.0,8.0,0.0,Featherweight,False,Active
Tim,Means,27.0,10.0,1.0,Welterweight,False,Active
Daniel,Kelly,13.0,4.0,0.0,Middleweight,False,Active
